Packet ID,Source Address,Flow Inter Packet Times 1,Flow Inter Packet Times 2,Flow Inter Packet Times 3,Prefix Inter Packet Times 1,Prefix Inter Packet Times 2,Prefix Inter Packet Times 3,Hop Count,New Addresses Seen,Port
36,2000000,4499,2637,4499,2637,2637,2637,1000000,0,9000000
27,1000000,4298,200,4298,200,200,200,1000000,0,8000000
61,0,4395,1558,4395,1558,1558,1558,1000000,0,7000000
28,1000000,4125,2567,4125,2567,2567,2567,1000000,0,8000000
37,2000000,4521,196,4521,196,196,196,1000000,0,9000000
62,0,4346,1583,4346,1583,1583,1583,1000000,0,7000000
29,1000000,4225,2446,4225,2446,2446,2446,1000000,0,8000000
38,2000000,4481,452,4481,452,452,452,1000000,0,9000000
63,0,4418,1520,4418,1520,1520,1520,1000000,0,7000000
30,1000000,4208,2236,4208,2236,2236,2236,1000000,0,8000000
39,2000000,4531,775,4531,775,775,775,1000000,0,9000000
64,0,4417,1406,4417,1406,1406,1406,1000000,0,7000000
31,1000000,4229,2048,4229,2048,2048,2048,1000000,0,8000000
40,2000000,4316,862,4316,862,862,862,1000000,0,9000000
65,0,4476,1566,4476,1566,1566,1566,1000000,0,7000000
32,1000000,4222,1794,4222,1794,1794,1794,1000000,0,8000000
41,2000000,4791,1431,4791,1431,1431,1431,1000000,0,9000000
66,0,4335,1110,4335,1110,1110,1110,1000000,0,7000000
33,1000000,4247,1706,4247,1706,1706,1706,1000000,0,8000000
42,2000000,4514,1698,4514,1698,1698,1698,1000000,0,9000000
67,0,4442,1038,4442,1038,1038,1038,1000000,0,7000000
34,1000000,4234,1498,4234,1498,1498,1498,1000000,0,8000000
43,2000000,4520,1984,4520,1984,1984,1984,1000000,0,9000000
68,0,4655,1173,4655,1173,1173,1173,1000000,0,7000000
35,1000000,4334,1177,4334,1177,1177,1177,1000000,0,8000000
44,2000000,4442,2092,4442,2092,2092,2092,1000000,0,9000000
69,0,4124,855,4124,855,855,855,1000000,0,7000000
36,1000000,3995,1048,3995,1048,1048,1048,1000000,0,8000000
45,2000000,4523,2620,4523,2620,2620,2620,1000000,0,9000000
70,0,4617,949,4617,949,949,949,1000000,0,7000000
37,1000000,4430,861,4430,861,861,861,1000000,0,8000000
46,2000000,4410,2600,4410,2600,2600,2600,1000000,0,9000000
12,42000000,230786,154188,58058,154188,154188,154188,4000000,3000000,0
71,0,4495,1034,4495,1034,1034,1034,1000000,0,7000000
38,1000000,4218,584,4218,584,584,584,1000000,0,8000000
47,2000000,4199,2581,4199,2581,2581,2581,1000000,0,9000000
72,0,4315,1150,4315,1150,1150,1150,1000000,0,7000000
39,1000000,4211,480,4211,480,480,480,1000000,0,8000000
48,2000000,4297,2667,4297,2667,2667,2667,1000000,0,9000000
73,0,4376,1229,4376,1229,1229,1229,1000000,0,7000000
40,1000000,4216,320,4216,320,320,320,1000000,0,8000000
49,2000000,4439,2890,4439,2890,2890,2890,1000000,0,9000000
74,0,4408,1198,4408,1198,1198,1198,1000000,0,7000000
41,1000000,4249,161,4249,161,161,161,1000000,0,8000000
50,2000000,4204,2845,4204,2845,2845,2845,1000000,0,9000000
75,0,4234,1228,4234,1228,1228,1228,1000000,0,7000000
42,1000000,4273,200,4273,200,200,200,1000000,0,8000000
51,2000000,4310,2882,4310,2882,2882,2882,1000000,0,9000000
76,0,4403,1321,4403,1321,1321,1321,1000000,0,7000000
43,1000000,4446,243,4446,243,243,243,1000000,0,8000000
52,2000000,4467,2903,4467,2903,2903,2903,1000000,0,9000000
12,24000000,224199,85777,78128,85777,85777,85777,3000000,3000000,0
77,0,4648,1502,4648,1502,1502,1502,1000000,0,7000000
44,1000000,4607,202,4607,202,202,202,1000000,0,8000000
53,2000000,4277,2573,4277,2573,2573,2573,1000000,0,9000000
45,1000000,3847,1274,3847,1274,1274,1274,1000000,0,8000000
78,0,4311,262,4311,262,262,262,1000000,0,7000000
54,2000000,4287,2751,4287,2751,2751,2751,1000000,0,9000000
46,1000000,4329,1316,4329,1316,1316,1316,1000000,0,8000000
79,0,4236,169,4236,169,169,169,1000000,0,7000000
55,2000000,4212,2727,4212,2727,2727,2727,1000000,0,9000000
47,1000000,4189,1293,4189,1293,1293,1293,1000000,0,8000000
